"","AGEGROUP","COUNTRY","value"
"8268","AGE65-69","CMR",0.964295
"8269","AGE80-84","BLR",0.863517
"8270","AGE90-94","MCO",0.847544
"8271","AGE75-79","ZMB",0.906341
"8272","AGE90-94","GEO",0.727768
"8273","AGE50-54","SRB",0.990502
"8274","AGE80-84","VCT",0.91556
"8275","AGE40-44","BEN",0.99209
"8276","AGE80-84","SWZ",0.864809
"8277","AGE35-39","NZL",0.999364
"8278","AGE20-24","KAZ",0.997536
"8279","AGE5-9","TUN",0.999
"8280","AGE75-79","IRN",0.902036
"8281","AGE80-84","ITA",0.955156
"8282","AGE85-89","LBY",0.79808
"8283","AGE60-64","MOZ",0.978163
"8284","AGE40-44","LAO",0.990634
"8285","AGE15-19","GHA",0.997
"8286","AGE95-99","BEN",0.489108
"8287","AGE60-64","IND",0.972657
"8288","AGE90-94","DNK",0.797971
"8289","AGE30-34","MCO",0.998949
"8290","AGE70-74","TUR",0.970938
"8291","AGE15-19","IND",0.998118
"8292","AGE75-79","NGA",0.884674
"8293","AGE15-19","GTM",0.997668
"8294","AGE95-99","KNA",0.558782
"8295","AGE60-64","VEN",0.991801
"8296","AGE10-14","BLZ",0.999733
"8297","AGE40-44","MHL",0.997
"8298","AGE60-64","ETH",0.980207
"8299","AGE80-84","GNQ",0.837591
"8300","AGE95-99","LBY",0.548622
"8301","AGELT1","RWA",0.963911
"8302","AGE15-19","LCA",0.998994
"8303","AGE80-84","GRC",0.907533
"8304","AGE1-4","KEN",0.993353
"8305","AGE90-94","GRD",0.715991
"8306","AGE65-69","ETH",0.970024
"8307","AGE30-34","SRB",0.999505
"8308","AGE30-34","ETH",0.995635
"8309","AGE75-79","COL",0.953477
"8310","AGE10-14","MRT",0.998797
"8311","AGE55-59","BEN",0.982057
"8312","AGE85-89","PRY",0.899635
"8313","AGE75-79","NZL",0.975136
"8314","AGE10-14","GAB",0.99848
"8315","AGE35-39","PHL",0.997841
"8316","AGE65-69","ITA",0.98627
"8317","AGE50-54","THA",0.996252
"8318","AGE70-74","NOR",0.953907
"8319","AGE55-59","COD",0.979176
"8320","AGE30-34","IND",0.996913
"8321","AGE65-69","BLZ",0.969118
"8322","AGE55-59","BLR",0.99292
"8323","AGE75-79","IND",0.916142
"8324","AGE65-69","SWZ",0.958568
"8325","AGE90-94","NOR",0.819628
"8326","AGE75-79","VCT",0.931389
"8327","AGE45-49","BLR",0.99621
"8328","AGE75-79","SWZ",0.909874
"8329","AGE50-54","LCA",0.992395
"8330","AGE90-94","NGA",0.615999
"8331","AGE80-84","SRB",0.874049
"8332","AGE45-49","BEN",0.989073
"8333","AGE75-79","ETH",0.912767
"8334","AGE85-89","ZAF",0.860755
"8335","AGE85-89","COL",0.910872
"8336","AGE1-4","ROU",0.999668
"8337","AGE85-89","TZA",0.772941
"8338","AGE20-24","KNA",0.998887
"8339","AGE65-69","USA",0.981138
"8340","AGE5-9","NZL",0.999839
"8341","AGE70-74","BEN",0.940371
"8342","AGE85-89","BHS",0.861094
"8343","AGE55-59","CHN",0.988934
"8344","AGE90-94","AFG",0.649714
"8345","AGE20-24","GHA",0.997106
"8346","AGE15-19","CYP",0.999141
"8347","AGE40-44","GEO",0.994643
"8348","AGE70-74","NRU",0.954
"8349","AGE65-69","MRT",0.970586
"8350","AGELT1","AGO",0.883987
"8351","AGELT1","TON",0.986008
"8352","AGE60-64","PAN",0.992266
"8353","AGE85-89","LVA",0.86449
"8354","AGE95-99","JOR",0.535926
"8355","AGE55-59","ESP",0.996831
"8356","AGE75-79","ARG",0.920396
"8357","AGE80-84","UZB",0.875
"8358","AGE45-49","ALB",0.996201
"8359","AGE90-94","SRB",0.780674
"8360","AGE80-84","PLW",0.868831
"8361","AGE60-64","HTI",0.980779
"8362","AGE1-4","COK",1
"8363","AGE40-44","ITA",0.999008
"8364","AGE20-24","LUX",0.999664
"8365","AGE90-94","SUR",0.769208
"8366","AGE50-54","ITA",0.994306
"8367","AGE1-4","BLR",0.999618
"8368","AGE95-99","KHM",0.695524
"8369","AGE10-14","COD",0.9957
"8370","AGE80-84","CZE",0.928607
"8371","AGE20-24","IND",0.997664
"8372","AGE15-19","SMR",1
"8373","AGE50-54","HUN",0.994
"8374","AGE80-84","IRN",0.872788
"8375","AGE20-24","PNG",0.99797
"8376","AGE70-74","YEM",0.934
"8377","AGE70-74","HUN",0.951211
"8378","AGE1-4","ZWE",0.990759
"8379","AGE75-79","CYP",0.973612
"8380","AGE40-44","NIU",0.997054
"8381","AGE90-94","LKA",0.766319
"8382","AGE10-14","THA",0.999716
"8383","AGE35-39","BWA",0.995774
"8384","AGE20-24","SLE",0.988197
"8385","AGE70-74","TUV",0.928559
"8386","AGE20-24","FSM",0.998306
"8387","AGE10-14","MHL",0.998659
"8388","AGE5-9","CHE",0.99993
"8389","AGE85-89","CYP",0.779851
"8390","AGE20-24","BFA",0.99583
"8391","AGE45-49","KNA",0.996
"8392","AGE60-64","TJK",0.982326
"8393","AGE90-94","KNA",0.682169
"8394","AGE50-54","POL",0.99512
"8395","AGE80-84","COM",0.840051
"8396","AGE30-34","GBR",0.998926
"8397","AGE90-94","MDV",0.442132
"8398","AGE70-74","DOM",0.966753
"8399","AGE5-9","USA",0.999893
"8400","AGE55-59","SAU",0.993651
"8401","AGE90-94","AUS",0.814009
"8402","AGE50-54","GMB",0.986347
"8403","AGELT1","BRA",0.940029
"8404","AGE60-64","EGY",0.985202
"8405","AGE95-99","YEM",0.583253
"8406","AGE65-69","LBY",0.983511
"8407","AGE80-84","CHL",0.922055
"8408","AGELT1","NZL",0.995799
"8409","AGE80-84","LUX",0.882948
"8410","AGE50-54","CIV",0.980097
"8411","AGE20-24","MNE",0.998966
"8412","AGE45-49","SVK",0.990095
"8413","AGE95-99","NIU",0.633137
"8414","AGE65-69","PHL",0.956534
"8415","AGE60-64","IRN",0.984
"8416","AGE70-74","FIN",0.973324
"8417","AGE20-24","TLS",0.99841
"8418","AGE10-14","MLT",0.99991
"8419","AGE1-4","BRB",0.999718
"8420","AGE75-79","SMR",0.959234
"8421","AGE40-44","BGR",0.998212
"8422","AGE10-14","LAO",0.999276
"8423","AGE75-79","MAR",0.928944
"8424","AGE15-19","VUT",0.998231
"8425","AGE40-44","RUS",0.997
"8426","AGE50-54","NER",0.9893
"8427","AGE5-9","ARG",0.999768
"8428","AGE10-14","PLW",0.999705
"8429","AGE95-99","MDA",0.62015
"8430","AGE80-84","MNE",0.907346
"8431","AGE20-24","MUS",0.998792
"8432","AGE35-39","GUY",0.99716
"8433","AGE70-74","KGZ",0.932537
"8434","AGE5-9","SWE",0.99995
"8435","AGE80-84","UGA",0.857878
"8436","AGE20-24","CHL",0.99845
"8437","AGE65-69","MUS",0.976418
"8438","AGE55-59","MRT",0.984452
"8439","AGELT1","ZWE",0.928933
"8440","AGE45-49","MDV",0.990967
"8441","AGE10-14","RUS",0.999
"8442","AGE1-4","BDI",0.989669
"8443","AGE75-79","LBR",0.867504
"8444","AGE40-44","MLI",0.990534
"8445","AGE10-14","EST",0.99933
"8446","AGE20-24","BHS",0.998552
"8447","AGE5-9","BRA",0.999697
"8448","AGE15-19","VNM",0.999
"8449","AGE5-9","HND",0.999251
"8450","AGE60-64","LBN",0.994709
"8451","AGE65-69","DJI",0.953793
"8452","AGE1-4","LAO",0.990172
"8453","AGE80-84","NAM",0.881251
"8454","AGE10-14","CMR",0.997237
"8455","AGE75-79","SLV",0.946123
"8456","AGE75-79","BFA",0.889905
"8457","AGE60-64","NPL",0.977086
"8458","AGELT1","UZB",0.945447
"8459","AGE50-54","MLI",0.990079
"8460","AGE30-34","GEO",0.999368
"8461","AGE75-79","KNA",0.878
"8462","AGE40-44","SAU",0.996752
"8463","AGE45-49","UZB",0.995929
"8464","AGE70-74","SYR",0.954894
"8465","AGE55-59","KGZ",0.990576
"8466","AGELT1","PRK",0.958504
"8467","AGE65-69","MHL",0.967623
"8468","AGE75-79","TJK",0.926916
"8469","AGE65-69","TKM",0.961956
"8470","AGE70-74","PER",0.970423
"8471","AGE10-14","LBY",0.999723
"8472","AGE55-59","LBY",0.992057
"8473","AGE75-79","MHL",0.935033
"8474","AGE80-84","KEN",0.855164
"8475","AGE35-39","MNG",0.99813
"8476","AGE50-54","BTN",0.989881
"8477","AGE80-84","COM",0.853023
"8478","AGE60-64","NRU",0.99
"8479","AGELT1","DMA",0.989709
"8480","AGE20-24","KNA",0.998833
"8481","AGE5-9","TUN",0.999
"8482","AGE90-94","SMR",0.765634
"8483","AGE40-44","CIV",0.980421
"8484","AGE45-49","SUR",0.996579
"8485","AGE35-39","NER",0.995487
"8486","AGE10-14","ZWE",0.998709
"8487","AGE15-19","BDI",0.995881
"8488","AGE75-79","ECU",0.944919
"8489","AGE60-64","SVN",0.986415
"8490","AGE55-59","NRU",0.995703
"8491","AGE50-54","KOR",0.997262
"8492","AGE90-94","POL",0.788101
"8493","AGE85-89","JAM",0.840343
"8494","AGE5-9","HUN",0.999921
"8495","AGE20-24","SUR",0.999322
"8496","AGE40-44","NRU",0.997345
"8497","AGE10-14","TCD",0.996494
"8498","AGE95-99","SAU",0.537045
"8499","AGE65-69","CMR",0.968037
"8500","AGELT1","SLB",0.976678
"8501","AGE30-34","NLD",0.999384
"8502","AGE75-79","JAM",0.931081
"8503","AGE90-94","MEX",0.832795
"8504","AGE45-49","USA",0.997489
"8505","AGE80-84","AUT",0.924499
"8506","AGE45-49","UGA",0.979923
"8507","AGE15-19","MUS",0.99929
"8508","AGE40-44","STP",0.993691
"8509","AGE80-84","AFG",0.82954
"8510","AGE75-79","USA",0.96309
"8511","AGE5-9","SMR",1
"8512","AGELT1","AND",0.996553
"8513","AGE65-69","EST",0.977534
"8514","AGE90-94","MDA",0.769918
"8515","AGE45-49","VNM",0.997
"8516","AGE40-44","GHA",0.993707
"8517","AGE5-9","PRK",0.999347
"8518","AGE70-74","RUS",0.918479
"8519","AGE50-54","SVN",0.989932
"8520","AGE55-59","GNB",0.979448
"8521","AGE1-4","FIN",0.999873
"8522","AGE1-4","TCD",0.98346
"8523","AGE45-49","MEX",0.996967
"8524","AGE55-59","ZWE",0.988318
"8525","AGE95-99","ISL",0.722768
"8526","AGE70-74","PLW",0.947535
"8527","AGE60-64","SEN",0.975257
"8528","AGE1-4","KGZ",0.997
"8529","AGE35-39","MHL",0.997
"8530","AGE45-49","JOR",0.997054
"8531","AGE75-79","MKD",0.919803
"8532","AGE55-59","KWT",0.996463
"8533","AGE85-89","MLT",0.852075
"8534","AGE50-54","TJK",0.991612
"8535","AGE85-89","RUS",0.840727
"8536","AGE10-14","THA",0.999
"8537","AGE85-89","ARG",0.85778
"8538","AGE85-89","DOM",0.900182
"8539","AGE5-9","NIC",0.999675
"8540","AGE20-24","COK",0.997424
"8541","AGE35-39","PRT",0.999303
"8542","AGE30-34","NIU",0.997961
"8543","AGE90-94","ZMB",0.699
"8544","AGE5-9","TTO",0.999148
"8545","AGE80-84","JOR",0.894135
"8546","AGE50-54","YEM",0.987864
"8547","AGE40-44","RUS",0.992
"8548","AGE35-39","CZE",0.998966
"8549","AGE50-54","RUS",0.994539
"8550","AGE20-24","SEN",0.997
"8551","AGE5-9","CIV",0.993821
"8552","AGE90-94","ALB",0.688639
"8553","AGE1-4","YEM",0.99
"8554","AGE40-44","BGD",0.9971
"8555","AGE55-59","USA",0.990099
"8556","AGE90-94","PLW",0.719403
"8557","AGE80-84","SEN",0.838184
"8558","AGE15-19","HTI",0.998297
"8559","AGE15-19","LSO",0.997474
"8560","AGE80-84","AUS",0.913612
"8561","AGE70-74","MNG",0.941765
"8562","AGE40-44","VUT",0.994318
"8563","AGE20-24","BEL",0.999526
"8564","AGE30-34","GMB",0.995274
"8565","AGE85-89","NIU",0.817529
"8566","AGE80-84","FIN",0.949475
"8567","AGE35-39","BHR",0.999144
"8568","AGE15-19","GBR",0.999748
"8569","AGE95-99","PRT",0.687955
"8570","AGE35-39","GHA",0.993808
"8571","AGE45-49","MDV",0.995
"8572","AGELT1","PER",0.987254
"8573","AGE60-64","TZA",0.977181
"8574","AGE15-19","GIN",0.995835
"8575","AGE60-64","GMB",0.976875
"8576","AGE80-84","BWA",0.885636
"8577","AGE75-79","HND",0.950629
"8578","AGE5-9","VUT",0.999382
"8579","AGE65-69","CAN",0.98547
"8580","AGE95-99","GMB",0.538175
"8581","AGE1-4","STP",0.991952
"8582","AGE35-39","NPL",0.997479
"8583","AGE80-84","MLT",0.933637
"8584","AGE20-24","SWE",0.999148
"8585","AGE45-49","URY",0.994
"8586","AGE1-4","ALB",0.999618
"8587","AGE65-69","LBR",0.960369
"8588","AGE40-44","AGO",0.987797
"8589","AGE55-59","DOM",0.990446
"8590","AGE50-54","NIU",0.995203
"8591","AGE5-9","FRA",0.99993
"8592","AGE15-19","TJK",0.99945
"8593","AGE95-99","CYP",0.696118
"8594","AGELT1","LTU",0.984792
"8595","AGE35-39","SSD",0.989
"8596","AGE40-44","MHL",0.994
"8597","AGE15-19","DMA",0.999264
"8598","AGE60-64","TTO",0.984715
"8599","AGELT1","ALB",0.986218
"8600","AGE95-99","CZE",0.527342
"8601","AGE15-19","ISL",0.999679
"8602","AGE65-69","RUS",0.947384
"8603","AGE60-64","ATG",0.986041
"8604","AGE80-84","CAN",0.955876
"8605","AGE35-39","URY",0.999
"8606","AGE5-9","MMR",0.99859
"8607","AGE85-89","NAM",0.846056
"8608","AGE40-44","DZA",0.995927
"8609","AGE5-9","TGO",0.995452
"8610","AGE20-24","MYS",0.998297
"8611","AGE55-59","HUN",0.975
"8612","AGELT1","CPV",0.964871
"8613","AGE70-74","URY",0.977913
"8614","AGE10-14","SAU",0.999478
"8615","AGE75-79","JPN",0.983504
"8616","AGE40-44","NAM",0.994588
"8617","AGE75-79","GIN",0.895264
"8618","AGE80-84","DMA",0.924971
"8619","AGE75-79","FRA",0.969477
"8620","AGE85-89","MMR",0.763406
"8621","AGE50-54","BRN",0.995635
"8622","AGE35-39","ROU",0.998407
"8623","AGE95-99","ARE",0.651226
"8624","AGE60-64","QAT",0.989251
"8625","AGE5-9","SSD",0.994891
"8626","AGE90-94","KGZ",0.685
"8627","AGE5-9","CAN",0.999925
"8628","AGE60-64","URY",0.981577
"8629","AGE75-79","YEM",0.893673
"8630","AGE50-54","SSD",0.985712
"8631","AGE80-84","ROU",0.915697
"8632","AGE5-9","RUS",0.99975
"8633","AGE95-99","URY",0.738644
"8634","AGE40-44","MMR",0.992248
"8635","AGE5-9","POL",1
"8636","AGE35-39","TGO",0.993903
"8637","AGE15-19","KHM",0.994038
"8638","AGE50-54","KHM",0.983915
"8639","AGE45-49","DMA",0.995739
"8640","AGE80-84","IRL",0.918948
"8641","AGE90-94","AZE",0.748799
"8642","AGE55-59","FRA",0.99639
"8643","AGE85-89","BRN",0.836551
"8644","AGE70-74","TGO",0.93981
"8645","AGE80-84","HND",0.921084
"8646","AGE20-24","TGO",0.996555
"8647","AGE70-74","BHR",0.954664
"8648","AGE5-9","IRL",0.999937
"8649","AGE95-99","MMR",0.57033
"8650","AGE20-24","IRN",0.999
"8651","AGE80-84","VUT",0.851267
"8652","AGE45-49","GIN",0.988028
"8653","AGE35-39","DOM",0.996817
"8654","AGE65-69","MMR",0.97035
"8655","AGELT1","WSM",0.986031
"8656","AGE85-89","CPV",0.784221
"8657","AGE1-4","CHN",0.99952
"8658","AGE35-39","CHN",0.999096
"8659","AGE55-59","LSO",0.973761
"8660","AGE5-9","CAF",0.991311
"8661","AGE90-94","BEL",0.763541
"8662","AGE65-69","BRB",0.983457
"8663","AGE75-79","PAK",0.918322
"8664","AGE60-64","TTO",0.979751
"8665","AGE75-79","LSO",0.914783
"8666","AGE50-54","CZE",0.987426
"8667","AGELT1","YEM",0.933
"8668","AGE20-24","CZE",0.99898
"8669","AGE10-14","KIR",0.999564
"8670","AGE70-74","FRA",0.977119
"8671","AGE40-44","MWI",0.969845
"8672","AGE75-79","CPV",0.905812
"8673","AGE40-44","TGO",0.990465
"8674","AGE55-59","PAN",0.994812
"8675","AGE85-89","TGO",0.74007
"8676","AGE35-39","HTI",0.993818
"8677","AGE10-14","NAM",0.999165
"8678","AGE45-49","BEL",0.995914
"8679","AGELT1","CHN",0.971
"8680","AGE65-69","ROU",0.966061
"8681","AGE80-84","SWE",0.940427
"8682","AGE45-49","MMR",0.991177
"8683","AGE55-59","IRL",0.996306
"8684","AGE1-4","SGP",0.999773
"8685","AGE65-69","LSO",0.966931
"8686","AGE75-79","HND",0.949799
"8687","AGE15-19","BHR",0.999289
"8688","AGE45-49","QAT",0.998191
"8689","AGE60-64","ARG",0.989506
"8690","AGE90-94","TUN",0.721
"8691","AGE70-74","GUY",0.90941
"8692","AGE95-99","IRL",0.695339
"8693","AGE70-74","MMR",0.950354
"8694","AGE15-19","LBN",0.999695
"8695","AGE85-89","PRK",0.785646
"8696","AGE5-9","SLB",0.999164
"8697","AGE40-44","VNM",0.995585
"8698","AGE60-64","UKR",0.969393
"8699","AGE35-39","MAR",0.997733
"8700","AGE1-4","ARE",0.999639
"8701","AGE90-94","FIN",0.812956
"8702","AGE60-64","GEO",0.981109
"8703","AGE55-59","WSM",0.97614
"8704","AGE65-69","MDG",0.955961
"8705","AGE55-59","COL",0.99226
"8706","AGE10-14","CUB",0.999806
"8707","AGE60-64","CPV",0.986845
"8708","AGE65-69","GMB",0.964611
"8709","AGE75-79","CHN",0.927978
"8710","AGE60-64","SVK",0.97192
"8711","AGE30-34","BRB",0.998848
"8712","AGE50-54","CHL",0.995
"8713","AGE45-49","GHA",0.990796
"8714","AGE85-89","USA",0.890019
"8715","AGE15-19","CIV",0.995465
"8716","AGE35-39","COD",0.9903
"8717","AGE50-54","CZE",0.997309
"8718","AGE40-44","PRY",0.996472
"8719","AGE65-69","GEO",0.981125
"8720","AGE70-74","CUB",0.966917
"8721","AGELT1","GEO",0.973603
"8722","AGE20-24","TCD",0.993648
"8723","AGE1-4","MEX",0.998922
"8724","AGE30-34","TON",0.999
"8725","AGE75-79","GNB",0.87951
"8726","AGE50-54","SSD",0.985339
"8727","AGE75-79","SDN",0.913334
"8728","AGE75-79","VNM",0.924
"8729","AGELT1","PAK",0.87859
"8730","AGE55-59","MDG",0.988047
"8731","AGE95-99","IND",0.73671
"8732","AGE15-19","HND",0.999117
"8733","AGE35-39","TGO",0.992631
"8734","AGE60-64","BLZ",0.991426
"8735","AGE90-94","MLT",0.71354
"8736","AGE5-9","CRI",0.999715
"8737","AGE95-99","MAR",0.515956
"8738","AGE1-4","ECU",0.997
"8739","AGE10-14","YEM",0.999
"8740","AGE45-49","JPN",0.998692
"8741","AGE40-44","COK",0.995
"8742","AGE1-4","GTM",0.997286
"8743","AGE95-99","URY",0.7
"8744","AGE30-34","JAM",0.996901
"8745","AGE35-39","IRL",0.999508
"8746","AGE20-24","NPL",0.998173
"8747","AGE45-49","PLW",0.995429
"8748","AGE80-84","ROU",0.891288
"8749","AGE50-54","MYS",0.993634
"8750","AGELT1","SGP",0.998007
"8751","AGE20-24","AGO",0.992
"8752","AGE55-59","MCO",0.996195
"8753","AGE10-14","DZA",0.999331
"8754","AGE5-9","GRC",0.999912
"8755","AGE55-59","SRB",0.982551
"8756","AGE35-39","LVA",0.995
"8757","AGE5-9","MDG",0.995866
"8758","AGE75-79","AGO",0.864881
"8759","AGE30-34","HUN",0.996774
"8760","AGE50-54","LVA",0.996016
"8761","AGELT1","JOR",0.983049
"8762","AGE95-99","ARG",0.709032
"8763","AGE15-19","KIR",0.99925
"8764","AGE10-14","KGZ",1
"8765","AGE65-69","ALB",0.97551
"8766","AGE50-54","CHL",0.995119
"8767","AGE90-94","GNQ",0.661825
"8768","AGE55-59","MEX",0.992373
"8769","AGE60-64","ZAF",0.980688
"8770","AGE35-39","LBR",0.994483
"8771","AGE55-59","AFG",0.977251
"8772","AGE20-24","ZMB",0.996822
"8773","AGE65-69","NGA",0.960548
"8774","AGE15-19","MKD",0.99951
"8775","AGE80-84","HND",0.900134
"8776","AGE55-59","UGA",0.974406
"8777","AGE30-34","COD",0.991994
"8778","AGE90-94","THA",0.823703
"8779","AGE55-59","SSD",0.974
"8780","AGE15-19","BHR",0.999764
"8781","AGE10-14","BIH",0.999871
"8782","AGE80-84","MOZ",0.790765
"8783","AGE45-49","OMN",0.996106
"8784","AGE60-64","AUS",0.991976
"8785","AGE65-69","SUR",0.987593
"8786","AGE35-39","CHE",0.999554
"8787","AGE55-59","LKA",0.993255
"8788","AGE90-94","MLT",0.778038
"8789","AGE5-9","CHN",0.999544
"8790","AGE85-89","NZL",0.911812
"8791","AGE55-59","SGP",0.994316
"8792","AGE20-24","SAU",0.998716
"8793","AGE90-94","GAB",0.696002
"8794","AGE60-64","BEL",0.986358
"8795","AGE55-59","SLV",0.990853
"8796","AGE5-9","BWA",0.998862
"8797","AGE20-24","TUV",0.998826
"8798","AGE10-14","SYC",0.999914
"8799","AGE80-84","NPL",0.858088
"8800","AGE75-79","GNQ",0.885331
"8801","AGE35-39","GAB",0.99068
"8802","AGE85-89","RUS",0.842762
"8803","AGE55-59","VEN",0.991624
"8804","AGE10-14","RWA",0.998215
"8805","AGE90-94","ATG",0.858151
"8806","AGE85-89","ZMB",0.746
"8807","AGE55-59","POL",0.983099
"8808","AGE50-54","MDG",0.988903
"8809","AGE90-94","SSD",0.66
"8810","AGELT1","GMB",0.923266
"8811","AGE80-84","LTU",0.887
"8812","AGE75-79","NGA",0.898711
"8813","AGE70-74","NPL",0.942823
"8814","AGE45-49","SLV",0.9906
"8815","AGE50-54","SUR",0.992761
"8816","AGE85-89","COD",0.762683
"8817","AGE40-44","TLS",0.992952
"8818","AGE20-24","DZA",0.998687
"8819","AGE60-64","KWT",0.992135
"8820","AGE75-79","CRI",0.967221
"8821","AGE95-99","DOM",0.82036
"8822","AGE5-9","MRT",0.998
"8823","AGE65-69","MDA",0.978017
"8824","AGE15-19","CHN",0.999656
"8825","AGE50-54","MNE",0.995853
"8826","AGE70-74","CIV",0.942729
"8827","AGE65-69","SGP",0.984913
"8828","AGE55-59","LUX",0.988412
"8829","AGE95-99","TZA",0.513299
"8830","AGE1-4","LKA",0.999343
"8831","AGE15-19","DOM",0.999114
"8832","AGELT1","MDG",0.921734
"8833","AGE20-24","RWA",0.99112
"8834","AGE30-34","PER",0.998348
"8835","AGE35-39","ISL",0.999622
"8836","AGE1-4","GBR",0.999597
"8837","AGE45-49","MHL",0.996853
"8838","AGE75-79","KIR",0.906085
"8839","AGE65-69","CRI",0.982661
"8840","AGE1-4","SVK",0.99962
"8841","AGE30-34","RWA",0.995617
"8842","AGE45-49","LKA",0.994386
"8843","AGE60-64","WSM",0.969042
"8844","AGE80-84","BOL",0.836182
"8845","AGE85-89","HTI",0.739386
"8846","AGE20-24","DJI",0.997776
"8847","AGE85-89","MAR",0.803192
"8848","AGE10-14","HRV",0.999908
"8849","AGE90-94","NPL",0.640604
"8850","AGE1-4","KAZ",0.998239
"8851","AGE75-79","DZA",0.929595
"8852","AGE10-14","SVK",0.999878
"8853","AGE65-69","AGO",0.944
"8854","AGE95-99","ZMB",0.588
"8855","AGE55-59","CRI",0.991338
"8856","AGE10-14","ALB",0.999
"8857","AGE45-49","SVK",0.998002
"8858","AGE50-54","LCA",0.993987
"8859","AGE40-44","LUX",0.999293
"8860","AGE55-59","BHR",0.994875
"8861","AGE95-99","SOM",0.598005
"8862","AGE35-39","EST",0.998337
"8863","AGE45-49","GBR",0.997397
"8864","AGE95-99","AGO",0.550802
"8865","AGE40-44","MRT",0.99573
"8866","AGE5-9","COK",0.999766
"8867","AGE60-64","PRY",0.985596
"8868","AGE75-79","MCO",0.941943
"8869","AGE20-24","DNK",0.999631
"8870","AGE30-34","ISL",0.999669
"8871","AGE30-34","AND",0.998625
"8872","AGE75-79","GEO",0.949499
"8873","AGE90-94","RUS",0.767
"8874","AGE65-69","BLR",0.983183
"8875","AGE65-69","IRN",0.964
"8876","AGE95-99","GBR",0.699366
"8877","AGE55-59","IRN",0.989568
"8878","AGE85-89","IND",0.837268
"8879","AGE30-34","VNM",0.997
"8880","AGE60-64","AGO",0.976817
"8881","AGE75-79","AZE",0.919
"8882","AGE30-34","TON",0.998175
"8883","AGE20-24","COD",0.993057
"8884","AGE75-79","PRK",0.868578
"8885","AGE40-44","LAO",0.996641
"8886","AGE10-14","ARM",0.999874
"8887","AGE75-79","PER",0.958583
"8888","AGE40-44","ISR",0.999312
"8889","AGE20-24","JAM",0.998103
"8890","AGE5-9","JOR",1
"8891","AGE95-99","LVA",0.684334
"8892","AGE5-9","NGA",0.990525
"8893","AGE20-24","ALB",0.998312
"8894","AGE15-19","NZL",0.999139
"8895","AGE5-9","DJI",0.998079
"8896","AGE10-14","COK",1
"8897","AGE40-44","DJI",0.991677
"8898","AGE1-4","SLV",0.998474
"8899","AGE95-99","BTN",0.729412
"8900","AGE10-14","GNQ",0.996726
"8901","AGE5-9","LKA",0.999207
"8902","AGE95-99","MOZ",0.491442
"8903","AGE90-94","BEN",0.556076
"8904","AGE35-39","KOR",0.99632
"8905","AGE5-9","ECU",0.999
"8906","AGE20-24","GAB",0.997818
"8907","AGE65-69","SRB",0.975712
"8908","AGELT1","IRN",0.972328
"8909","AGE10-14","CHN",1
"8910","AGE10-14","LKA",0.999394
"8911","AGE30-34","CHN",0.998
"8912","AGE75-79","VCT",0.929623
"8913","AGE20-24","NER",0.994899
"8914","AGE65-69","NRU",0.98838
"8915","AGE65-69","GNB",0.953537
"8916","AGE90-94","SLB",0.644144
"8917","AGE75-79","JAM",0.956905
"8918","AGE65-69","NZL",0.986749
"8919","AGE20-24","SLB",0.995938
"8920","AGE1-4","AND",0.99911
"8921","AGE35-39","SMR",0.998964
"8922","AGE75-79","RUS",0.904728
"8923","AGE15-19","CRI",0.999165
"8924","AGE65-69","ESP",0.991493
"8925","AGE60-64","DJI",0.98034
"8926","AGE50-54","JAM",0.992007
"8927","AGE45-49","MCO",0.996757
"8928","AGE15-19","PRK",0.999115
"8929","AGE5-9","ERI",0.999025
"8930","AGE55-59","ZMB",0.966
"8931","AGE10-14","LCA",0.999841
"8932","AGE20-24","TKM",0.996795
"8933","AGE55-59","KNA",0.980381
"8934","AGE40-44","ZAF",0.983985
"8935","AGE35-39","SEN",0.995
"8936","AGE35-39","ARM",0.997073
"8937","AGE45-49","ITA",0.998789
"8938","AGE75-79","LVA",0.917421
"8939","AGE85-89","DJI",0.743093
"8940","AGE85-89","KOR",0.824638
"8941","AGE20-24","LAO",0.998174
"8942","AGE40-44","BHS",0.996862
"8943","AGE85-89","YEM",0.758
"8944","AGE55-59","TUR",0.985828
"8945","AGE80-84","KNA",0.856
"8946","AGE55-59","KOR",0.993177
"8947","AGE90-94","TUR",0.62888
"8948","AGE45-49","THA",0.994426
"8949","AGE40-44","GRD",0.997776
"8950","AGELT1","ZAF",0.940848
"8951","AGE15-19","PRY",0.999428
"8952","AGE80-84","COL",0.891367
"8953","AGE80-84","BIH",0.901563
"8954","AGE1-4","ITA",0.999698
"8955","AGE85-89","SDN",0.814654
"8956","AGE85-89","LBN",0.792929
"8957","AGE10-14","FJI",0.999487
"8958","AGE60-64","TON",0.968453
"8959","AGE95-99","BGR",0.661019
"8960","AGE35-39","NER",0.995012
"8961","AGELT1","BEN",0.918383
"8962","AGE75-79","CMR",0.91794
"8963","AGE45-49","GNQ",0.987234
"8964","AGELT1","KGZ",0.951
"8965","AGE30-34","COL",0.999121
"8966","AGE90-94","VCT",0.791563
"8967","AGE75-79","ZAF",0.887024
"8968","AGE20-24","ISR",0.999182
"8969","AGE65-69","SMR",0.992809
"8970","AGE80-84","BLZ",0.869
"8971","AGE50-54","AND",0.997856
"8972","AGE60-64","AND",0.984788
"8973","AGE20-24","ARM",0.999575
